SIC Code,SIC Description,NAICS Code,NAICS Description
3999,"Manufacturing Industries, Nec",321999,All Other Miscellaneous Wood Product Manufacturing
2611,Pulp Mills,322110,Pulp Mills
2611,Pulp Mills,322121,Paper (except Newsprint) Mills
2621,Paper Mills,322121,Paper (except Newsprint) Mills
2611,Pulp Mills,322122,Newsprint Mills
2621,Paper Mills,322122,Newsprint Mills
2611,Pulp Mills,322130,Paperboard Mills
2631,Paperboard Mills,322130,Paperboard Mills
2653,Corrugated and Solid Fiber Boxes,322211,Corrugated and Solid Fiber Box Manufacturing
2679,"Converted Paper Products, Nec",322211,Corrugated and Solid Fiber Box Manufacturing
2657,Folding Paperboard Boxes,322212,Folding Paperboard Box Manufacturing
2652,Setup Paperboard Boxes,322219,Other Paperboard Container Manufacturing
2655,"Fiber Cans, Drums, and Similar Products",322219,Other Paperboard Container Manufacturing
2656,Sanitary Food Containers,322219,Other Paperboard Container Manufacturing
2671,Paper; Coated and Laminated Packaging,322220,Paper Bag and Coated and Treated Paper Manufacturing
2672,"Paper; Coated and Laminated, Nec",322220,Paper Bag and Coated and Treated Paper Manufacturing
2673,"Bags: Plastic, Laminated, and Coated",322220,Paper Bag and Coated and Treated Paper Manufacturing
2674,Bags: Uncoated Paper and Multiwall,322220,Paper Bag and Coated and Treated Paper Manufacturing
2675,Die-cut Paper and Board,322220,Paper Bag and Coated and Treated Paper Manufacturing
2679,"Converted Paper Products, Nec",322220,Paper Bag and Coated and Treated Paper Manufacturing
3497,Metal Foil and Leaf,322220,Paper Bag and Coated and Treated Paper Manufacturing
2675,Die-cut Paper and Board,322230,Stationery Product Manufacturing
2677,Envelopes,322230,Stationery Product Manufacturing
2678,Stationery Products,322230,Stationery Product Manufacturing
2679,"Converted Paper Products, Nec",322230,Stationery Product Manufacturing
2676,Sanitary Paper Products,322291,Sanitary Paper Product Manufacturing
3842,Surgical Appliances and Supplies,322291,Sanitary Paper Product Manufacturing
2675,Die-cut Paper and Board,322299,All Other Converted Paper Product Manufacturing
2679,"Converted Paper Products, Nec",322299,All Other Converted Paper Product Manufacturing
2752,"Commercial Printing, Lithographic",323111,Commercial Printing (except Screen and Books)
2752,"Commercial Printing, Lithographic",323111,Commercial Printing (except Screen and Books)
2754,"Commercial Printing, Gravure",323111,Commercial Printing (except Screen and Books)
2759,"Commercial Printing, Nec",323111,Commercial Printing (except Screen and Books)
2759,"Commercial Printing, Nec",323111,Commercial Printing (except Screen and Books)
2759,"Commercial Printing, Nec",323111,Commercial Printing (except Screen and Books)
2759,"Commercial Printing, Nec",323111,Commercial Printing (except Screen and Books)
2761,Manifold Business Forms,323111,Commercial Printing (except Screen and Books)
2771,Greeting Cards,323111,Commercial Printing (except Screen and Books)
2771,Greeting Cards,323111,Commercial Printing (except Screen and Books)
2771,Greeting Cards,323111,Commercial Printing (except Screen and Books)
2771,Greeting Cards,323111,Commercial Printing (except Screen and Books)
2782,Blankbooks and Looseleaf Binders,323111,Commercial Printing (except Screen and Books)
2782,Blankbooks and Looseleaf Binders,323111,Commercial Printing (except Screen and Books)
7334,Photocopying and Duplicating Services,323111,Commercial Printing (except Screen and Books)
2396,Automotive and Apparel Trimmings,323113,Commercial Screen Printing
2759,"Commercial Printing, Nec",323113,Commercial Screen Printing
2771,Greeting Cards,323113,Commercial Screen Printing
3993,Signs and Advertising Specialties,323113,Commercial Screen Printing
2732,Book Printing,323117,Books Printing
2789,Bookbinding and Related Work,323120,Support Activities for Printing
2791,Typesetting,323120,Support Activities for Printing
2796,Platemaking Services,323120,Support Activities for Printing
2911,Petroleum Refining,324110,Petroleum Refineries
2951,Asphalt Paving Mixtures and Blocks,324121,Asphalt Paving Mixture and Block Manufacturing
2952,Asphalt Felts and Coatings,324122,Asphalt Shingle and Coating Materials Manufacturing
2992,Lubricating Oils and Greases,324191,Petroleum Lubricating Oil and Grease Manufacturing
2999,"Petroleum and Coal Products, Nec",324199,All Other Petroleum and Coal Products Manufacturing
3312,Blast Furnaces and Steel Mills,324199,All Other Petroleum and Coal Products Manufacturing
2865,Cyclic Crudes and Intermediates,325110,Petrochemical Manufacturing
2869,"Industrial Organic Chemicals, Nec",325110,Petrochemical Manufacturing
2813,Industrial Gases,325120,Industrial Gas Manufacturing
2869,"Industrial Organic Chemicals, Nec",325120,Industrial Gas Manufacturing
2816,Inorganic Pigments,325130,Synthetic Dye and Pigment Manufacturing
2819,"Industrial Inorganic Chemicals, Nec",325130,Synthetic Dye and Pigment Manufacturing
2865,Cyclic Crudes and Intermediates,325130,Synthetic Dye and Pigment Manufacturing
2812,Alkalies and Chlorine,325180,Other Basic Inorganic Chemical Manufacturing
2816,Inorganic Pigments,325180,Other Basic Inorganic Chemical Manufacturing
2819,"Industrial Inorganic Chemicals, Nec",325180,Other Basic Inorganic Chemical Manufacturing
2869,"Industrial Organic Chemicals, Nec",325180,Other Basic Inorganic Chemical Manufacturing
2895,Carbon Black,325180,Other Basic Inorganic Chemical Manufacturing
2869,"Industrial Organic Chemicals, Nec",325193,Ethyl Alcohol Manufacturing
2861,Gum and Wood Chemicals,325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing"
2865,Cyclic Crudes and Intermediates,325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing"
2869,"Industrial Organic Chemicals, Nec",325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing"
2869,"Industrial Organic Chemicals, Nec",325199,All Other Basic Organic Chemical Manufacturing
2899,"Chemical Preparations, Nec",325199,All Other Basic Organic Chemical Manufacturing
2821,Plastics Materials and Resins,325211,Plastics Material and Resin Manufacturing
2822,Synthetic Rubber,325212,Synthetic Rubber Manufacturing
2823,Cellulosic Manmade Fibers,325220,Artificial and Synthetic Fibers and Filaments Manufacturing
2824,"Organic Fibers, Noncellulosic",325220,Artificial and Synthetic Fibers and Filaments Manufacturing
2873,Nitrogenous Fertilizers,325311,Nitrogenous Fertilizer Manufacturing
2874,Phosphatic Fertilizers,325312,Phosphatic Fertilizer Manufacturing
2875,"Fertilizers, Mixing Only",325314,Fertilizer (Mixing Only) Manufacturing
2879,"Agricultural Chemicals, Nec",325320,Pesticide and Other Agricultural Chemical Manufacturing
2833,Medicinals and Botanicals,325411,Medicinal and Botanical Manufacturing
2834,Pharmaceutical Preparations,325412,Pharmaceutical Preparation Manufacturing
2835,Diagnostic Substances,325412,Pharmaceutical Preparation Manufacturing
2835,Diagnostic Substances,325413,In-Vitro Diagnostic Substance Manufacturing
2836,"Biological Products, Except Diagnostic",325414,Biological Product (except Diagnostic) Manufacturing
2851,Paints and Allied Products,325510,Paint and Coating Manufacturing
2899,"Chemical Preparations, Nec",325510,Paint and Coating Manufacturing
2891,Adhesives and Sealants,325520,Adhesive Manufacturing
2841,Soap and Other Detergents,325611,Soap and Other Detergent Manufacturing
2844,Toilet Preparations,325611,Soap and Other Detergent Manufacturing
2842,Polishes and Sanitation Goods,325612,Polish and Other Sanitation Good Manufacturing
2843,Surface Active Agents,325613,Surface Active Agent Manufacturing
2844,Toilet Preparations,325620,Toilet Preparation Manufacturing
2893,Printing Ink,325910,Printing Ink Manufacturing
2892,Explosives,325920,Explosives Manufacturing
3087,Custom Compound Purchased Resins,325991,Custom Compounding of Purchased Resins
3861,Photographic Equipment and Supplies,325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing"
2819,"Industrial Inorganic Chemicals, Nec",325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing
2869,"Industrial Organic Chemicals, Nec",325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing
2899,"Chemical Preparations, Nec",325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing
3952,Lead Pencils and Art Goods,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing
3999,"Manufacturing Industries, Nec",325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing
7389,"Business Services, Nec",325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing
2673,"Bags: Plastic, Laminated, and Coated",326111,Plastics Bag and Pouch Manufacturing
2671,Paper; Coated and Laminated Packaging,326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing
3081,Unsupported Plastics Film and Sheet,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing
3082,Unsupported Plastics Profile Shapes,326121,Unlaminated Plastics Profile Shape Manufacturing
3089,"Plastics Products, Nec",326121,Unlaminated Plastics Profile Shape Manufacturing
3084,Plastics Pipe,326122,Plastics Pipe and Pipe Fitting Manufacturing
3089,"Plastics Products, Nec",326122,Plastics Pipe and Pipe Fitting Manufacturing
3083,Laminated Plastics Plate and Sheet,326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing"
3086,Plastics Foam Products,326140,Polystyrene Foam Product Manufacturing
3086,Plastics Foam Products,326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing
3085,Plastics Bottles,326160,Plastics Bottle Manufacturing
3088,Plastics Plumbing Fixtures,326191,Plastics Plumbing Fixture Manufacturing
3069,"Fabricated Rubber Products, Nec",326199,All Other Plastics Product Manufacturing
3089,"Plastics Products, Nec",326199,All Other Plastics Product Manufacturing
3996,"Hard Surface Floor Coverings, Nec",326199,All Other Plastics Product Manufacturing
3999,"Manufacturing Industries, Nec",326199,All Other Plastics Product Manufacturing
3011,Tires and Inner Tubes,326211,Tire Manufacturing (except Retreading)
7534,Tire Retreading and Repair Shops,326212,Tire Retreading
3052,Rubber and Plastics Hose and Beltings,326220,Rubber and Plastics Hoses and Belting Manufacturing
3061,Mechanical Rubber Goods,326291,Rubber Product Manufacturing for Mechanical Use
3061,Mechanical Rubber Goods,326299,All Other Rubber Product Manufacturing
3069,"Fabricated Rubber Products, Nec",326299,All Other Rubber Product Manufacturing
3261,Vitreous Plumbing Fixtures,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing"
3262,Vitreous China Table and Kitchenware,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing"
3263,Semivitreous Table and Kitchenware,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing"
3264,Porcelain Electrical Supplies,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing"
3269,"Pottery Products, Nec",327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing"
3299,"Nonmetallic Mineral Products,",327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing"
5719,Miscellaneous Homefurnishings,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing"
3251,Brick and Structural Clay Tile,327120,Clay Building Material and Refractories Manufacturing
3253,Ceramic Wall and Floor Tile,327120,Clay Building Material and Refractories Manufacturing
3255,Clay Refractories,327120,Clay Building Material and Refractories Manufacturing
3259,"Structural Clay Products, Nec",327120,Clay Building Material and Refractories Manufacturing
3297,Nonclay Refractories,327120,Clay Building Material and Refractories Manufacturing
3211,Flat Glass,327211,Flat Glass Manufacturing
3229,"Pressed and Blown Glass, Nec",327212,Other Pressed and Blown Glass and Glassware Manufacturing
3221,Glass Containers,327213,Glass Container Manufacturing
3231,Products of Purchased Glass,327215,Glass Product Manufacturing Made of Purchased Glass
3241,"Cement, Hydraulic",327310,Cement Manufacturing
3273,Ready-mixed Concrete,327320,Ready-Mix Concrete Manufacturing
3251,Brick and Structural Clay Tile,327331,Concrete Block and Brick Manufacturing
3271,Concrete Block and Brick,327331,Concrete Block and Brick Manufacturing
3272,"Concrete Products, Nec",327332,Concrete Pipe Manufacturing
3272,"Concrete Products, Nec",327390,Other Concrete Product Manufacturing
3274,Lime,327410,Lime Manufacturing
3275,Gypsum Products,327420,Gypsum Product Manufacturing
3299,"Nonmetallic Mineral Products,",327420,Gypsum Product Manufacturing
3291,Abrasive Products,327910,Abrasive Product Manufacturing
3281,Cut Stone and Stone Products,327991,Cut Stone and Stone Product Manufacturing
3295,"Minerals, Ground or Treated",327992,Ground or Treated Mineral and Earth Manufacturing
3296,Mineral Wool,327993,Mineral Wool Manufacturing
3272,"Concrete Products, Nec",327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing
3292,Asbestos Products,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing
3299,"Nonmetallic Mineral Products,",327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing
3312,Blast Furnaces and Steel Mills,331110,Iron and Steel Mills and Ferroalloy Manufacturing
3313,Electrometallurgical Products,331110,Iron and Steel Mills and Ferroalloy Manufacturing
3399,Primary Metal Products,331110,Iron and Steel Mills and Ferroalloy Manufacturing
3317,Steel Pipe and Tubes,331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel
3312,Blast Furnaces and Steel Mills,331221,Rolled Steel Shape Manufacturing
3316,Cold Finishing of Steel Shapes,331221,Rolled Steel Shape Manufacturing
3399,Primary Metal Products,331221,Rolled Steel Shape Manufacturing
3315,Steel Wire and Related Products,331222,Steel Wire Drawing
2819,"Industrial Inorganic Chemicals, Nec",331313,Alumina Refining and Primary Aluminum Production
3334,Primary Aluminum,331313,Alumina Refining and Primary Aluminum Production
3341,Secondary Nonferrous Metals,331314,Secondary Smelting and Alloying of Aluminum
3399,Primary Metal Products,331314,Secondary Smelting and Alloying of Aluminum
3353,"Aluminum Sheet, Plate, and Foil",331315,"Aluminum Sheet, Plate, and Foil Manufacturing"
3354,Aluminum Extruded Products,331318,"Other Aluminum Rolling, Drawing, and Extruding"
3355,"Aluminum Rolling and Drawing, Nec",331318,"Other Aluminum Rolling, Drawing, and Extruding"
3357,Nonferrous Wiredrawing and Insulating,331318,"Other Aluminum Rolling, Drawing, and Extruding"
3331,Primary Copper,331410,Nonferrous Metal (except Aluminum) Smelting and Refining
3339,"Primary Nonferrous Metals, Nec",331410,Nonferrous Metal (except Aluminum) Smelting and Refining
3341,Secondary Nonferrous Metals,331420,"Copper Rolling, Drawing, Extruding, and Alloying"
3351,Copper Rolling and Drawing,331420,"Copper Rolling, Drawing, Extruding, and Alloying"
3357,Nonferrous Wiredrawing and Insulating,331420,"Copper Rolling, Drawing, Extruding, and Alloying"
3399,Primary Metal Products,331420,"Copper Rolling, Drawing, Extruding, and Alloying"
3356,"Nonferrous Rolling and Drawing, Nec",331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding"
3357,Nonferrous Wiredrawing and Insulating,331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding"
3341,Secondary Nonferrous Metals,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)"
3399,Primary Metal Products,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)"
3321,Gray and Ductile Iron Foundries,331511,Iron Foundries
3322,Malleable Iron Foundries,331511,Iron Foundries
3324,Steel Investment Foundries,331512,Steel Investment Foundries
3325,"Steel Foundries, Nec",331513,Steel Foundries (except Investment)
3363,Aluminum Die-castings,331523,Nonferrous Metal Die-Casting Foundries
3364,Nonferrous Die-castings Except Aluminum,331523,Nonferrous Metal Die-Casting Foundries
3365,Aluminum Foundries,331524,Aluminum Foundries (except Die-Casting)
3366,Copper Foundries,331529,Other Nonferrous Metal Foundries (except Die-Casting)
3369,"Nonferrous Foundries, Nec",331529,Other Nonferrous Metal Foundries (except Die-Casting)
3462,Iron and Steel Forgings,332111,Iron and Steel Forging
3463,Nonferrous Forgings,332112,Nonferrous Forging
3449,Miscellaneous Metalwork,332114,Custom Roll Forming
3499,"Fabricated Metal Products, Nec",332117,Powder Metallurgy Part Manufacturing
3466,Crowns and Closures,332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)"
3469,"Metal Stampings, Nec",332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)"
3421,Cutlery,332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing"
3469,"Metal Stampings, Nec",332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing"
3496,Miscellaneous Fabricated Wire Products,332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing"
3914,Silverware and Plated Ware,332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing"
3999,"Manufacturing Industries, Nec",332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing"
3421,Cutlery,332216,Saw Blade and Handtool Manufacturing
3423,"Hand and Edge Tools, Nec",332216,Saw Blade and Handtool Manufacturing
3425,Saw Blades and Handsaws,332216,Saw Blade and Handtool Manufacturing
3523,Farm Machinery and Equipment,332216,Saw Blade and Handtool Manufacturing
3524,Lawn and Garden Equipment,332216,Saw Blade and Handtool Manufacturing
3545,Machine Tool Accessories,332216,Saw Blade and Handtool Manufacturing
3644,Noncurrent-carrying Wiring Devices,332216,Saw Blade and Handtool Manufacturing
3999,"Manufacturing Industries, Nec",332216,Saw Blade and Handtool Manufacturing
3448,Prefabricated Metal Buildings,332311,Prefabricated Metal Building and Component Manufacturing
3441,Fabricated Structural Metal,332312,Fabricated Structural Metal Manufacturing
3449,Miscellaneous Metalwork,332312,Fabricated Structural Metal Manufacturing
3443,Fabricated Plate Work (boiler Shop),332313,Plate Work Manufacturing
3442,"Metal Doors, Sash, and Trim",332321,Metal Window and Door Manufacturing
3444,Sheet Metalwork,332321,Metal Window and Door Manufacturing
3444,Sheet Metalwork,332322,Sheet Metal Work Manufacturing
3446,Architectural Metalwork,332323,Ornamental and Architectural Metal Work Manufacturing
3449,Miscellaneous Metalwork,332323,Ornamental and Architectural Metal Work Manufacturing
3523,Farm Machinery and Equipment,332323,Ornamental and Architectural Metal Work Manufacturing
3443,Fabricated Plate Work (boiler Shop),332410,Power Boiler and Heat Exchanger Manufacturing
3559,"Special Industry Machinery, Nec",332410,Power Boiler and Heat Exchanger Manufacturing
3443,Fabricated Plate Work (boiler Shop),332420,Metal Tank (Heavy Gauge) Manufacturing
3411,Metal Cans,332431,Metal Can Manufacturing
3412,"Metal Barrels, Drums, and Pails",332439,Other Metal Container Manufacturing
3429,"Hardware, Nec",332439,Other Metal Container Manufacturing
3444,Sheet Metalwork,332439,Other Metal Container Manufacturing
3469,"Metal Stampings, Nec",332439,Other Metal Container Manufacturing
3499,"Fabricated Metal Products, Nec",332439,Other Metal Container Manufacturing
3537,Industrial Trucks and Tractors,332439,Other Metal Container Manufacturing
3429,"Hardware, Nec",332510,Hardware Manufacturing
3499,"Fabricated Metal Products, Nec",332510,Hardware Manufacturing
3493,"Steel Springs, Except Wire",332613,Spring Manufacturing
3495,Wire Springs,332613,Spring Manufacturing
3315,Steel Wire and Related Products,332618,Other Fabricated Wire Product Manufacturing
3399,Primary Metal Products,332618,Other Fabricated Wire Product Manufacturing
3496,Miscellaneous Fabricated Wire Products,332618,Other Fabricated Wire Product Manufacturing
3599,"Industrial Machinery, Nec",332710,Machine Shops
3451,Screw Machine Products,332721,Precision Turned Product Manufacturing
3429,"Hardware, Nec",332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing"
3452,"Bolts, Nuts, Rivets, and Washers",332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing"
3398,Metal Heat Treating,332811,Metal Heat Treating
3479,Metal Coating and Allied Services,332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers"
3999,"Manufacturing Industries, Nec",332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers"
3399,Primary Metal Products,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring"
3471,Plating and Polishing,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring"
3599,"Industrial Machinery, Nec",332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring"
3491,Industrial Valves,332911,Industrial Valve Manufacturing
3492,Fluid Power Valves and Hose Fittings,332912,Fluid Power Valve and Hose Fitting Manufacturing
3728,"Aircraft Parts and Equipment, Nec",332912,Fluid Power Valve and Hose Fitting Manufacturing
3432,Plumbing Fixture Fittings and Trim,332913,Plumbing Fixture Fitting and Trim Manufacturing
3429,"Hardware, Nec",332919,Other Metal Valve and Pipe Fitting Manufacturing
3432,Plumbing Fixture Fittings and Trim,332919,Other Metal Valve and Pipe Fitting Manufacturing
3494,"Valves and Pipe Fittings, Nec",332919,Other Metal Valve and Pipe Fitting Manufacturing
3499,"Fabricated Metal Products, Nec",332919,Other Metal Valve and Pipe Fitting Manufacturing
3562,Ball and Roller Bearings,332991,Ball and Roller Bearing Manufacturing
3482,Small Arms Ammunition,332992,Small Arms Ammunition Manufacturing
3483,"Ammunition, Except For Small Arms, Nec",332993,Ammunition (except Small Arms) Manufacturing
3484,Small Arms,332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing"
3489,"Ordnance and Accessories, Nec",332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing"
3841,Surgical and Medical Instruments,332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing"
3498,Fabricated Pipe and Fittings,332996,Fabricated Pipe and Pipe Fitting Manufacturing
3291,Abrasive Products,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
3429,"Hardware, Nec",332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
3431,Metal Sanitary Ware,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
3432,Plumbing Fixture Fittings and Trim,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
3494,"Valves and Pipe Fittings, Nec",332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
3497,Metal Foil and Leaf,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
3499,"Fabricated Metal Products, Nec",332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
3537,Industrial Trucks and Tractors,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
3543,Industrial Patterns,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
3599,"Industrial Machinery, Nec",332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
3914,Silverware and Plated Ware,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
3999,"Manufacturing Industries, Nec",332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
3523,Farm Machinery and Equipment,333111,Farm Machinery and Equipment Manufacturing
3559,"Special Industry Machinery, Nec",333111,Farm Machinery and Equipment Manufacturing
3524,Lawn and Garden Equipment,333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing
3531,Construction Machinery,333120,Construction Machinery Manufacturing
3532,Mining Machinery,333131,Mining Machinery and Equipment Manufacturing
3533,Oil and Gas Field Machinery,333132,Oil and Gas Field Machinery and Equipment Manufacturing
3556,Food Products Machinery,333241,Food Product Machinery Manufacturing
3559,"Special Industry Machinery, Nec",333242,Semiconductor Machinery Manufacturing
3553,Woodworking Machinery,333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing"
3554,Paper Industries Machinery,333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing"
3555,Printing Trades Machinery,333244,Printing Machinery and Equipment Manufacturing
2599,"Furniture and Fixtures, Nec",333249,Other Industrial Machinery Manufacturing
3552,Textile Machinery,333249,Other Industrial Machinery Manufacturing
3559,"Special Industry Machinery, Nec",333249,Other Industrial Machinery Manufacturing
3559,"Special Industry Machinery, Nec",333249,Other Industrial Machinery Manufacturing
3639,"Household Appliances, Nec",333249,Other Industrial Machinery Manufacturing
3821,Laboratory Apparatus and Furniture,333249,Other Industrial Machinery Manufacturing
3841,Surgical and Medical Instruments,333249,Other Industrial Machinery Manufacturing
3827,Optical Instruments and Lenses,333314,Optical Instrument and Lens Manufacturing
3577,"Computer Peripheral Equipment, Nec",333316,Photographic and Photocopying Equipment Manufacturing
3578,Calculating and Accounting Equipment,333316,Photographic and Photocopying Equipment Manufacturing
3861,Photographic Equipment and Supplies,333316,Photographic and Photocopying Equipment Manufacturing
3559,"Special Industry Machinery, Nec",333318,Other Commercial and Service Industry Machinery Manufacturing
3578,Calculating and Accounting Equipment,333318,Other Commercial and Service Industry Machinery Manufacturing
3578,Calculating and Accounting Equipment,333318,Other Commercial and Service Industry Machinery Manufacturing
3579,"Office Machines, Nec",333318,Other Commercial and Service Industry Machinery Manufacturing
3581,Automatic Vending Machines,333318,Other Commercial and Service Industry Machinery Manufacturing
3582,Commercial Laundry Equipment,333318,Other Commercial and Service Industry Machinery Manufacturing
3589,"Service Industry Machinery, Nec",333318,Other Commercial and Service Industry Machinery Manufacturing
3599,"Industrial Machinery, Nec",333318,Other Commercial and Service Industry Machinery Manufacturing
3699,"Electrical Equipment and Supplies, Nec",333318,Other Commercial and Service Industry Machinery Manufacturing
3999,"Manufacturing Industries, Nec",333318,Other Commercial and Service Industry Machinery Manufacturing
3564,Blowers and Fans,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing
3564,Blowers and Fans,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing
3433,"Heating Equipment, Except Electric",333414,Heating Equipment (except Warm Air Furnaces) Manufacturing
3569,"General Industrial Machinery,",333414,Heating Equipment (except Warm Air Furnaces) Manufacturing
3634,Electric Housewares and Fans,333414,Heating Equipment (except Warm Air Furnaces) Manufacturing
2499,"Wood Products, Nec",333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
2599,"Furniture and Fixtures, Nec",333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
3443,Fabricated Plate Work (boiler Shop),333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
3444,Sheet Metalwork,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
3585,Refrigeration and Heating Equipment,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
3821,Laboratory Apparatus and Furniture,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
3841,Surgical and Medical Instruments,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
3544,"Special Dies, Tools, Jigs, and Fixtures",333511,Industrial Mold Manufacturing
3544,"Special Dies, Tools, Jigs, and Fixtures",333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing"
3545,Machine Tool Accessories,333515,Cutting Tool and Machine Tool Accessory Manufacturing
3541,"Machine Tools, Metal Cutting Type",333517,Machine Tool Manufacturing
3542,"Machine Tools, Metal Forming Type",333517,Machine Tool Manufacturing
3547,Rolling Mill Machinery,333519,Rolling Mill and Other Metalworking Machinery Manufacturing
3549,"Metalworking Machinery, Nec",333519,Rolling Mill and Other Metalworking Machinery Manufacturing
3511,Turbines and Turbine Generator Sets,333611,Turbine and Turbine Generator Set Units Manufacturing
3566,"Speed Changers, Drives, and Gears",333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing"
3568,"Power Transmission Equipment, Nec",333613,Mechanical Power Transmission Equipment Manufacturing
3519,"Internal Combustion Engines, Nec",333618,Other Engine Equipment Manufacturing
3699,"Electrical Equipment and Supplies, Nec",333618,Other Engine Equipment Manufacturing
3563,Air and Gas Compressors,333912,Air and Gas Compressor Manufacturing
3561,Pumps and Pumping Equipment,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing"
3586,Measuring and Dispensing Pumps,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing"
3743,Railroad Equipment,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing"
3534,Elevators and Moving Stairways,333921,Elevator and Moving Stairway Manufacturing
3523,Farm Machinery and Equipment,333922,Conveyor and Conveying Equipment Manufacturing
3535,Conveyors and Conveying Equipment,333922,Conveyor and Conveying Equipment Manufacturing
