Code,Cross-Reference
238160,"Installing downspouts, gutters, fascia, and soffits--are classified in Industry 238170, Siding Contractors."
238170,"Installing brick, stone, or stucco building exterior finish materials--are classified in Industry 238140, Masonry Contractors;"
238170,"Installing curtain wall--are classified in Industry 238190, Other Foundation, Structure, and Building Exterior Contractors; and"
238170,"Installing sheet metal duct work--are classified in Industry 238220, Plumbing, Heating, and Air-Conditioning Contractors."
238190,"Poured concrete foundation and structure work--are classified in Industry 238110, Poured Concrete Foundation and Structure Contractors;"
238190,"Installation of structural steel or precast concrete building components--are classified in Industry 238120, Structural Steel and Precast Concrete Contractors;"
238190,"Framing buildings--are classified in Industry 238130, Framing Contractors;"
238190,"Masonry work--are classified in Industry 238140, Masonry Contractors;"
238190,"Glass and glazing work--are classified in Industry 238150, Glass and Glazing Contractors;"
238190,"Installing or repairing roofs--are classified in Industry 238160, Roofing Contractors;"
238190,"Installing siding--are classified in Industry 238170, Siding Contractors; and"
238190,"Fireproofing buildings--are classified in Industry 238310, Drywall and Insulation Contractors."
238210,"Installing and maintaining telecommunications lines by telecommunications companies--are classified in Subsector 517, Telecommunications;"
238210,"Constructing power and communication transmission lines--are classified in Industry 237130, Power and Communication Line and Related Structures Construction; and"
238210,"Burglar and fire alarm installation combined with sales, maintenance, or monitoring services--are classified in U.S. Industry 561621, Security Systems Services (except Locksmiths)."
238220,"Installing electrical controls for HVAC systems--are classified in Industry 238210, Electrical Contractors and Other Wiring Installation Contractors;"
238220,"Duct cleaning--are classified in Industry 561790, Other Services to Buildings and Dwellings; and"
238220,"Installing septic tanks--are classified in Industry 238910, Site Preparation Contractors."
238290,"Manufacturing industrial equipment with incidental installation--are classified in Sector 31-33, Manufacturing; and"
238290,"Repair and maintenance of commercial refrigeration equipment or production equipment--are classified in Industry 811310, Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance."
238310,"Applying stucco--are classified in Industry 238140, Masonry Contractors; and"
238310,"Insulating pipes and boilers--are classified in Industry 238290, Other Building Equipment Contractors."
238320,"Painting lines on highways, streets, and parking lots--are classified in Industry 237310, Highway, Street, and Bridge Construction;"
238320,"Roof painting--are classified in Industry 238160, Roofing Contractors; and"
238320,"Installing wood paneling--are classified in Industry 238350, Finish Carpentry Contractors."
238330,"Laying concrete flooring--are classified in Industry 238110, Poured Concrete Foundation and Structure Contractors;"
238330,"Installing fireproof flooring--are classified in Industry 238310, Drywall and Insulation Contractors;"
238330,"Installing stone or ceramic floor tile--are classified in Industry 238340, Tile and Terrazzo Contractors; and"
238330,"Selling and installing carpet and other flooring products as retail establishments--are classified in Sector 44-45, Retail Trade."
238340,"Exterior marble, granite, and slate work--are classified in Industry 238140, Masonry Contractors;"
238340,"Manufacturing precast terrazzo products--are classified in Industry 327390, Other Concrete Product Manufacturing; and"
238340,"Installing, without selling resilient floor tile--are classified in Industry 238330, Flooring Contractors."
238350,"Installing skylights--are classified in Industry 238160, Roofing Contractors;"
238350,"Framing--are classified in Industry 238130, Framing Contractors; and"
238350,"Building custom kitchen and bath cabinets (except freestanding) in a shop--are classified in Industry 337110, Wood Kitchen Cabinet and Countertop Manufacturing."
238390,"Installing drywall, plaster, or insulation--are classified in Industry 238310, Drywall and Insulation Contractors;"
238390,"Installing or removing paint or wall coverings--are classified in Industry 238320, Painting and Wall Covering Contractors;"
238390,"Installing or repairing wood floors, resilient flooring, and carpet--are classified in Industry 238330, Flooring Contractors;"
238390,"Setting tile or performing terrazzo work--are classified in Industry 238340, Tile and Terrazzo Contractors; and"
238390,"Finish carpentry--are classified in Industry 238350, Finish Carpentry Contractors."
238910,"Earth retention or underwater trenching--are classified in Industry 237990, Other Heavy and Civil Engineering Construction;"
238910,"Crane rental with operator--are classified in Industry 238990, All Other Specialty Trade Contractors;"
238910,"Overburden removal as an activity prior to mineral removal from quarries or open pit mines--are classified in Sector 21, Mining, Quarrying, and Oil and Gas Extraction;"
238910,"Drilling oil and gas field water intake wells--are classified in U.S. Industry 213111, Drilling Oil and Gas Wells;"
238910,"Dismantling tanks in oil fields--are classified in U.S. Industry 213112, Support Activities for Oil and Gas Operations;"
238910,"Construction equipment rental without an operator--are classified in U.S. Industry 532412, Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing;"
238910,"Tree and brush trimming for overhead utility lines--are classified in Industry 561730, Landscaping Services; and"
238910,"Nuclear power plant decommissioning and environmental remediation work, such as the removal of underground steel tanks for hazardous materials--are classified in Industry 562910, Remediation Services."
238990,"Foundation, structure, and building exterior work--are classified in Industry Group 2381, Foundation, Structure, and Building Exterior Contractors;"
238990,"Installing, repairing, or maintaining building mechanical systems--are classified in Industry Group 2382, Building Equipment Contractors;"
238990,"Finishing buildings--are classified in Industry Group 2383, Building Finishing Contractors;"
238990,"Paving public highways, streets, and roads--are classified in Industry 237310, Highway, Street, and Bridge Construction;"
238990,"Construction equipment rental with an operator (except cranes) or preparing land for building construction--are classified in Industry 238910, Site Preparation Contractors;"
238990,"Construction equipment rental without an operator--are classified in U.S. Industry 532412, Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing;"
238990,"Radon testing--are classified in Industry 541380, Testing Laboratories;"
238990,"Power washing and other building exterior cleaning (except sandblasting)--are classified in Industry 561790, Other Services to Buildings and Dwellings; and"
238990,"Environmental remediation work, such as asbestos abatement--are classified in Industry 562910, Remediation Services."
31111,"Slaughtering animals for feed--are classified in Industry 31161, Animal Slaughtering and Processing; and"
31111,"Manufacturing vitamins and minerals for animals--are classified in Industry 32541, Pharmaceutical and Medicine Manufacturing."
311111,"Manufacturing food for animals (except dog and cat)--are classified in U.S. Industry 311119, Other Animal Food Manufacturing;"
311111,"Slaughtering animals for feed--are classified in Industry 31161, Animal Slaughtering and Processing; and"
311111,"Manufacturing vitamins and minerals for dogs and cats--are classified in Industry 32541, Pharmaceutical and Medicine Manufacturing."
311119,"Manufacturing dog and cat foods--are classified in U.S. Industry 311111, Dog and Cat Food Manufacturing;"
311119,"Slaughtering animals for feed--are classified in Industry 31161, Animal Slaughtering and Processing; and"
311119,"Manufacturing vitamins and minerals for animals--are classified in Industry 32541, Pharmaceutical and Medicine Manufacturing."
31121,"Preparing breakfast cereals from flour milled in the same establishment--are classified in Industry 31123, Breakfast Cereal Manufacturing;"
31121,"Crushing soybeans or wet milling corn and vegetables--are classified in Industry 31122, Starch and Vegetable Fats and Oils Manufacturing;"
31121,"Manufacturing prepared flour mixes or doughs from flour ground elsewhere--are classified in Industry 31182, Cookie, Cracker, and Pasta Manufacturing;"
31121,"Brewing malt beverages--are classified in Industry 31212, Breweries;"
31121,"Mixing purchased dried and dehydrated ingredients with purchased rice--are classified in Industry 31199, All Other Food Manufacturing;"
31121,"Drying and/or dehydrating ingredients and packaging them with purchased rice--are classified in Industry 31142, Fruit and Vegetable Canning, Pickling, and Drying; and"
31121,"Manufacturing malt extract and syrups--are classified in Industry 31194, Seasoning and Dressing Manufacturing."
311211,"Preparing breakfast cereals from flour milled in the same establishment--are classified in Industry 311230, Breakfast Cereal Manufacturing;"
311211,"Manufacturing prepared flour mixes or doughs from flour ground elsewhere--are classified in U.S. Industry 311824, Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour;"
311211,"Milling rice or cleaning and polishing rice--are classified in U.S. Industry 311212, Rice Milling;"
311211,"Wet milling corn and vegetables--are classified in U.S. Industry 311221, Wet Corn Milling; and"
311211,"Crushing soybeans and extracting soybean oil--are classified in U.S. Industry 311224, Soybean and Other Oilseed Processing."
311212,"Drying and/or dehydrating ingredients and packaging them with purchased rice--are classified in U.S. Industry 311423, Dried and Dehydrated Food Manufacturing; and"
311212,"Mixing purchased dried and/or dehydrated ingredients with purchased rice--are classified in U.S. Industry 311999, All Other Miscellaneous Food Manufacturing."
311213,"Brewing malt beverages--are classified in Industry 312120, Breweries; and"
311213,"Manufacturing malt extract and syrups--are classified in U.S. Industry 311942, Spice and Extract Manufacturing."
31122,"Manufacturing table syrups from corn syrup and starch base dessert powders--are classified in Industry 31199, All Other Food Manufacturing;"
31122,"Reducing maple sap to maple syrup--are classified in Industry 11199, All Other Crop Farming;"
31122,"Milling flour or meal from grains and vegetables--are classified in Industry 31121, Flour Milling and Malt Manufacturing;"
31122,"Wet milling corn to produce nonpotable ethyl alcohol--are classified in Industry 32519, Other Basic Organic Chemical Manufacturing;"
31122,"Rendering or refining animal fats and oils--are classified in Industry 31161, Animal Slaughtering and Processing; and"
31122,"Manufacturing laundry starches--are classified in Industry 32561, Soap and Cleaning Compound Manufacturing."
311221,"Refining and/or blending corn oil from purchased oils--are classified in U.S. Industry 311225, Fats and Oils Refining and Blending;"
311221,"Manufacturing sweetening syrups from corn syrup and starch base dessert powders--are classified in U.S. Industry 311999, All Other Miscellaneous Food Manufacturing;"
311221,"Reducing maple sap to maple syrup--are classified in U.S. Industry 111998, All Other Miscellaneous Crop Farming;"
311221,"Milling (except wet milling) corn--are classified in U.S. Industry 311211, Flour Milling;"
311221,"Wet milling corn to produce nonpotable ethyl alcohol--are classified in U.S. Industry 325193, Ethyl Alcohol Manufacturing; and"
311221,"Manufacturing laundry starches--are classified in U.S. Industry 325612, Polish and Other Sanitation Good Manufacturing."
311224,"Wet milling corn and other vegetables--are classified in U.S. Industry 311221, Wet Corn Milling; and"
311224,"Refining and/or blending vegetable, oilseed, and tree nut oils from purchased oils--are classified in U.S. Industry 311225, Fats and Oils Refining and Blending."
311225,"Refining and/or blending corn oil made by wet corn milling--are classified in U.S. Industry 311221, Wet Corn Milling;"
311225,"Refining and/or blending oilseed and tree nut oils in crushing mills--are classified in U.S. Industry 311224, Soybean and Other Oilseed Processing; and"
311225,"Rendering or refining animal fats and oils--are classified in Industry 31161, Animal Slaughtering and Processing."
311230,"Manufacturing nonchocolate-coated granola bars and other types of breakfast bars--are classified in Industry 311340, Nonchocolate Confectionery Manufacturing;"
311230,"Manufacturing chocolate-coated granola bars from purchased chocolate--are classified in U.S. Industry 311352, Confectionery Manufacturing from Purchased Chocolate;"
311230,"Manufacturing chocolate-coated granola bars from cacao beans--are classified in U.S. Industry 311351, Chocolate and Confectionery Manufacturing from Cacao Beans; and"
311230,"Manufacturing coffee substitutes from grain--are classified in Industry 311920, Coffee and Tea Manufacturing."
31131,"Manufacturing corn sweeteners by wet milling corn--are classified in Industry 31122, Starch and Vegetable Fats and Oils Manufacturing;"
31131,"Manufacturing table syrups from corn syrup and starch base dessert powders--are classified in Industry 31199, All Other Food Manufacturing;"
31131,"Reducing maple sap to maple syrup or maple sugar--are classified in Industry 11199, All Other Crop Farming; and"
31131,"Manufacturing synthetic sweeteners (i.e., sweetening agents), such as saccharin and sugar substitutes (i.e., synthetic sweetener blended with other ingredients)--are classified in Subsector 325, Chemical Manufacturing."
311313,"Manufacturing raw cane sugar and/or refined cane sugar--are classified in U.S. Industry 311314, Cane Sugar Manufacturing;"
311313,"Manufacturing corn sweeteners by wet milling corn--are classified in U.S. Industry 311221, Wet Corn Milling;"
311313,"Manufacturing table syrups from corn syrup--are classified in U.S. Industry 311999, All Other Miscellaneous Food Manufacturing;"
311313,"Reducing maple sap to maple syrup or maple sugar--are classified in U.S. Industry 111998, All Other Miscellaneous Crop Farming; and"
311313,"Manufacturing synthetic sweeteners (i.e., sweetening agents), such as saccharin and sugar substitutes (i.e., synthetic sweetener blended with other ingredients)--are classified in Subsector 325, Chemical Manufacturing."
311314,"Manufacturing beet sugar--are classified in U.S. Industry 311313, Beet Sugar Manufacturing;"
311314,"Manufacturing corn sweeteners by wet milling corn--are classified in U.S. Industry 311221, Wet Corn Milling;"
311314,"Reducing maple sap to maple syrup or maple sugar--are classified in U.S. Industry 111998, All Other Miscellaneous Crop Farming;"
311314,"Manufacturing table syrups from corn syrup--are classified in U.S. Industry 311999, All Other Miscellaneous Food Manufacturing; and"
311314,"Manufacturing synthetic sweeteners (i.e., sweetening agents), such as saccharin and sugar substitutes (i.e., synthetic sweetener blended with other ingredients)--are classified in Subsector 325, Chemical Manufacturing."
311340,"Manufacturing chocolate confectioneries from cacao beans--are classified in U.S. Industry 311351, Chocolate and Confectionery Manufacturing from Cacao Beans;"
311340,"Manufacturing chocolate confectioneries from chocolate made elsewhere--are classified in U.S. Industry 311352, Confectionery Manufacturing from Purchased Chocolate;"
311340,"Retailing confectioneries not for immediate consumption made elsewhere--are classified in U.S. Industry 445292, Confectionery and Nut Stores;"
311340,"Preparing and selling confectioneries for immediate consumption--are classified in U.S. Industry 722515, Snack and Nonalcoholic Beverage Bars; and"
311340,"Roasting, salting, drying, cooking, or canning nuts and seeds--are classified in U.S. Industry 311911, Roasted Nuts and Peanut Butter Manufacturing."
31135,"Manufacturing, not for immediate consumption, nonchocolate confectioneries--are classified in Industry 31134, Nonchocolate Confectionery Manufacturing;"
31135,"Retailing confectioneries not for immediate consumption made elsewhere--are classified in Industry 44529, Other Specialty Food Stores; and"
31135,"Preparing and selling confectioneries for immediate consumption--are classified in Industry 72251, Restaurants and Other Eating Places."
311351,"Manufacturing, not for immediate consumption, chocolate confectioneries from chocolate made elsewhere--are classified in U.S. Industry 311352, Confectionery Manufacturing from Purchased Chocolate;"
311351,"Manufacturing, not for immediate consumption, nonchocolate candies--are classified in Industry 311340, Nonchocolate Confectionery Manufacturing;"
311351,"Preparing and selling confectioneries for immediate consumption--are classified in U.S. Industry 722515, Snack and Nonalcoholic Beverage Bars; and"
311351,"Retailing confectioneries not for immediate consumption made elsewhere--are classified in U.S. Industry 445292, Confectionery and Nut Stores."
311352,"Manufacturing chocolate confectioneries from cacao beans--are classified in U.S. Industry 311351, Chocolate and Confectionery Manufacturing from Cacao Beans;"
311352,"Manufacturing, not for immediate consumption, nonchocolate confectioneries--are classified in Industry 311340, Nonchocolate Confectionery Manufacturing;"
311352,"Retailing confectioneries not for immediate consumption made elsewhere--are classified in U.S. Industry 445292, Confectionery and Nut Stores; and"
311352,"Preparing and selling confectioneries for immediate consumption--are classified in U.S. Industry 722515, Snack and Nonalcoholic Beverage Bars."
31141,"Manufacturing frozen dairy specialties--are classified in Industry 31152, Ice Cream and Frozen Dessert Manufacturing;"
31141,"Manufacturing frozen bakery products--are classified in Industry 31181, Bread and Bakery Product Manufacturing;"
31141,"Manufacturing frozen seafood products--are classified in Industry 31171, Seafood Product Preparation and Packaging; and"
31141,"Manufacturing frozen meat products--are classified in Industry 31161, Animal Slaughtering and Processing."
311411,"Establishments primarily engaged in manufacturing frozen specialty foods are classified in U.S. Industry 311412, Frozen Specialty Food Manufacturing."
311412,"Manufacturing frozen dairy specialties--are classified in Industry 311520, Ice Cream and Frozen Dessert Manufacturing;"
311412,"Manufacturing frozen bakery products--are classified in U.S. Industry 311813, Frozen Cakes, Pies, and Other Pastries Manufacturing;"
311412,"Manufacturing frozen fruits, frozen fruit juices, and frozen vegetables--are classified in U.S. Industry 311411, Frozen Fruit, Juice, and Vegetable Manufacturing;"
311412,"Manufacturing frozen meat products--are classified in Industry 31161, Animal Slaughtering and Processing; and"
311412,"Manufacturing frozen seafood products--are classified in Industry 311710, Seafood Product Preparation and Packaging."
31142,"Manufacturing canned dairy products--are classified in Industry 31151, Dairy Product (except Frozen) Manufacturing;"
31142,"Manufacturing canned seafood soups and seafood products--are classified in Industry 31171, Seafood Product Preparation and Packaging;"
31142,"Manufacturing canned meat products--are classified in Industry 31161, Animal Slaughtering and Processing;"
31142,"Milling rice and packaging it with other ingredients or manufacturing vegetable flours and meals--are classified in Industry 31121, Flour Milling and Malt Manufacturing;"
31142,"Manufacturing dry pasta and packaging it with other ingredients--are classified in Industry 31182, Cookie, Cracker, and Pasta Manufacturing;"
31142,"Mixing purchased dried and/or dehydrated potatoes, rice, and pasta and packaging them with other purchased ingredients; mixing purchased dried and/or dehydrated ingredients for soup mixes and bouillon; and manufacturing canned puddings--are classified in Industry 31199, All Other Food Manufacturing;"
31142,"Manufacturing dry salad dressing and dry sauce mixes--are classified in Industry 31194, Seasoning and Dressing Manufacturing; and"
31142,"Manufacturing canned fruit and vegetable drinks, cocktails, and ades--are classified in Industry 31211, Soft Drink and Ice Manufacturing."
311421,"Manufacturing canned baby foods, canned soups (except seafood), and canned specialty foods (except seafood)--are classified in U.S. Industry 311422, Specialty Canning;"
311421,"Manufacturing canned seafood soups and canned seafood products--are classified in Industry 311710, Seafood Product Preparation and Packaging;"
311421,"Manufacturing canned meat products--are classified in Industry 31161, Animal Slaughtering and Processing; and"
311421,"Manufacturing canned fruit and vegetable drinks, cocktails, and ades--are classified in U.S. Industry 312111, Soft Drink Manufacturing."
311422,"Manufacturing canned dairy products--are classified in U.S. Industry 311514, Dry, Condensed, and Evaporated Dairy Product Manufacturing;"
311422,"Manufacturing canned fruits, canned vegetables, and canned juices--are classified in U.S. Industry 311421, Fruit and Vegetable Canning;"
311422,"Manufacturing canned seafood soups and canned seafood products--are classified in Industry 311710, Seafood Product Preparation and Packaging;"
311422,"Manufacturing canned meat products--are classified in Industry 31161, Animal Slaughtering and Processing; and"
311422,"Manufacturing canned puddings--are classified in U.S. Industry 311999, All Other Miscellaneous Food Manufacturing."
311423,"Milling rice and packaging it with other ingredients--are classified in U.S. Industry 311212, Rice Milling;"
311423,"Manufacturing dry pasta and packaging it with other ingredients--are classified in U.S. Industry 311824, Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour;"
311423,"Manufacturing vegetable flours and meals--are classified in U.S. Industry 311211, Flour Milling;"
311423,"Mixing purchased dried and/or dehydrated potatoes, rice, and pasta, and packaging them with other purchased ingredients, and mixing purchased dried and/or dehydrated ingredients for soup mixes and bouillon--are classified in U.S. Industry 311999, All Other Miscellaneous Food Manufacturing; and"
311423,"Manufacturing dry salad dressing and dry sauce mixes--are classified in U.S. Industry 311942, Spice and Extract Manufacturing."
31151,"Manufacturing cheese-based salad dressings--are classified in Industry 31194, Seasoning and Dressing Manufacturing;"
31151,"Manufacturing margarine or margarine-butter blends--are classified in Industry 31122, Starch and Vegetable Fats and Oils Manufacturing;"
31151,"Manufacturing frozen whipped toppings--are classified in Industry 31141, Frozen Food Manufacturing; and"
31151,"Manufacturing ice cream, frozen yogurt, and other frozen dairy desserts--are classified in Industry 31152, Ice Cream and Frozen Dessert Manufacturing."
311511,"Manufacturing dry mix whipped toppings, canned milk, and ultra high temperature milk--are classified in U.S. Industry 311514, Dry, Condensed, and Evaporated Dairy Product Manufacturing;"
311511,"Manufacturing frozen whipped toppings--are classified in U.S. Industry 311412, Frozen Specialty Food Manufacturing; and"
311511,"Manufacturing ice cream and frozen yogurt and other frozen desserts--are classified in Industry 311520, Ice Cream and Frozen Dessert Manufacturing."
311512,"Establishments primarily engaged in manufacturing margarine or margarine-butter blends are classified in U.S. Industry 311225, Fats and Oils Refining and Blending."
311513,"Manufacturing cheese-based salad dressings--are classified in U.S. Industry 311941, Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing; and"
311513,"Manufacturing cottage cheese--are classified in U.S. Industry 311511, Fluid Milk Manufacturing."
311514,"Manufacturing fluid milk products--are classified in U.S. Industry 311511, Fluid Milk Manufacturing;"
311514,"Manufacturing creamery butter--are classified in U.S. Industry 311512, Creamery Butter Manufacturing; and"
311514,"Manufacturing cheese products--are classified in U.S. Industry 311513, Cheese Manufacturing."
311520,"Manufacturing frozen bakery products--are classified in U.S. Industry 311813, Frozen Cakes, Pies, and Other Pastries Manufacturing; and"
311520,"Manufacturing ice cream and ice milk mixes--are classified in U.S. Industry 311514, Dry, Condensed, and Evaporated Dairy Product Manufacturing."
31161,"Manufacturing canned meat for baby food--are classified in Industry 31142, Fruit and Vegetable Canning, Pickling, and Drying;"
31161,"Manufacturing meat-based animal feeds from carcasses--are classified in Industry 31111, Animal Food Manufacturing;"
31161,"Blending purchased animal fats with vegetable fats--are classified in Industry 31122, Starch and Vegetable Fats and Oils Manufacturing;"
31161,"Manufacturing canned and frozen specialty foods containing meat, such as nationality foods (e.g., enchiladas, pizza, egg rolls) and frozen dinners--are classified in Industry Group 3114, Fruit and Vegetable Preserving and Specialty Food Manufacturing;"
31161,"Drying, freezing, or breaking eggs--are classified in Industry 31199, All Other Food Manufacturing; and"
31161,"Cutting meat (except boxed meat)--are classified in Industry 42447, Meat and Meat Product Merchant Wholesalers."
311611,"Processing meat and meat byproducts (except poultry and small game) from purchased meats--are classified in U.S. Industry 311612, Meat Processed from Carcasses;"
311611,"Slaughtering and/or processing poultry and small game--are classified in U.S. Industry 311615, Poultry Processing;"
311611,"Rendering lard and other animal fats and oils, bones, and meat scraps--are classified in U.S. Industry 311613, Rendering and Meat Byproduct Processing; and"
311611,"Manufacturing canned and frozen specialty foods containing meat, such as nationality foods (e.g., enchiladas, egg rolls, pizza) and frozen dinners--are classified in Industry Group 3114, Fruit and Vegetable Preserving and Specialty Food Manufacturing."
311612,"Slaughtering animals (except poultry and small game)--are classified in U.S. Industry 311611, Animal (except Poultry) Slaughtering;"
311612,"Slaughtering poultry and small game--are classified in U.S. Industry 311615, Poultry Processing;"
311612,"Rendering lard and other animal fats and oils, bones, and meat scraps--are classified in U.S. Industry 311613, Rendering and Meat Byproduct Processing;"
311612,"Manufacturing canned meats for baby food--are classified in U.S. Industry 311422, Specialty Canning;"
311612,"Manufacturing meat-based animal feeds from carcasses--are classified in Industry 31111, Animal Food Manufacturing;"
311612,"Manufacturing canned and frozen specialty foods containing meat, such as nationality foods (e.g., enchiladas, egg rolls, pizza) and frozen dinners--are classified in Industry Group 3114, Fruit and Vegetable Preserving and Specialty Food Manufacturing; and"
311612,"Cutting meat (except boxed meat)--are classified in Industry 424470, Meat and Meat Product Merchant Wholesalers."
311613,"Establishments primarily engaged in blending purchased animal fats with vegetable fats are classified in U.S. Industry 311225, Fats and Oils Refining and Blending."
311615,"Slaughtering animals (except poultry and small game) and/or preparing meats--are classified in U.S. Industry 311611, Animal (except Poultry) Slaughtering;"
311615,"Preparing meat and meat byproducts (except poultry and small game) from purchased meats--are classified in U.S. Industry 311612, Meat Processed from Carcasses;"
311615,"Rendering animal fats and oils, bones, and meat scraps--are classified in U.S. Industry 311613, Rendering and Meat Byproduct Processing;"
311615,"Canning poultry and small game for baby food--are classified in U.S. Industry 311422, Specialty Canning;"
311615,"Producing poultry-based animal feeds from carcasses--are classified in Industry 31111, Animal Food Manufacturing;"
311615,"Manufacturing frozen meat and poultry products, such as nationality foods (e.g., enchiladas, egg rolls, pizza) and frozen dinners--are classified in U.S. Industry 311412, Frozen Specialty Food Manufacturing; and"
311615,"Drying, freezing, and breaking eggs--are classified in U.S. Industry 311999, All Other Miscellaneous Food Manufacturing."
31181,"Manufacturing cookies and crackers--are classified in Industry 31182, Cookie, Cracker, and Pasta Manufacturing;"
31181,"Preparing and selling bakery products (e.g., cookies, pretzels) for immediate consumption--are classified in Industry 72251, Restaurants and Other Eating Places;"
31181,"Retailing bakery products not for immediate consumption made elsewhere--are classified in Industry 44529, Other Specialty Food Stores; and"
31181,"Manufacturing pretzels (except soft)--are classified in Industry 31191, Snack Food Manufacturing."
311811,"Retailing bakery products not for immediate consumption made elsewhere--are classified in U.S. Industry 445291, Baked Goods Stores;"
311811,"Preparing and selling bakery products (e.g., cookies, pretzels) for immediate consumption--are classified in U.S. Industry 722515, Snack and Nonalcoholic Beverage Bars;"
311811,"Manufacturing fresh or frozen breads and other fresh bakery (except cookies and crackers) products--are classified in U.S. Industry 311812, Commercial Bakeries; and"
311811,"Manufacturing cookies and crackers--are classified in U.S. Industry 311821, Cookie and Cracker Manufacturing."
311812,"Retailing bread and other bakery products not for immediate consumption made on the premises from flour, not from prepared dough--are classified in U.S. Industry 311811, Retail Bakeries;"
311812,"Manufacturing frozen bakery products (except bread)--are classified in U.S. Industry 311813, Frozen Cakes, Pies, and Other Pastries Manufacturing;"
311812,"Preparing and selling bakery products (e.g., cookies, pretzels) for immediate consumption--are classified in U.S. Industry 722515, Snack and Nonalcoholic Beverage Bars;"
311812,"Retailing bakery products not for immediate consumption made elsewhere--are classified in U.S. Industry 445291, Baked Goods Stores;"
311812,"Manufacturing cookies and crackers--are classified in U.S. Industry 311821, Cookie and Cracker Manufacturing; and"
311812,"Manufacturing pretzels (except soft)--are classified in U.S. Industry 311919, Other Snack Food Manufacturing."
311813,"Manufacturing frozen breads--are classified in U.S. Industry 311812, Commercial Bakeries;"
311813,"Retailing bakery products not for immediate consumption made on the premises from flour, not from prepared dough--are classified in U.S. Industry 311811, Retail Bakeries;"
311813,"Preparing and selling bakery products (e.g., cookies, pretzels) for immediate consumption--are classified in U.S. Industry 722515, Snack and Nonalcoholic Beverage Bars;"
311813,"Manufacturing cookies and crackers--are classified in U.S. Industry 311821, Cookie and Cracker Manufacturing; and"
311813,"Retailing bakery products not for immediate consumption made elsewhere--are classified in U.S. Industry 445291, Baked Goods Stores."
31182,"Preparing and selling bakery products (e.g., cookies, pretzels) for immediate consumption--are classified in Industry 72251, Restaurants and Other Eating Places;"
31182,"Retailing bakery products not for immediate consumption made elsewhere--are classified in Industry 44529, Other Specialty Food Stores;"
31182,"Manufacturing bakery products (e.g., bread, cookies, pies)--are classified in Industry 31181, Bread and Bakery Product Manufacturing;"
31182,"Milling flour and preparing flour mixes or doughs--are classified in Industry 31121, Flour Milling and Malt Manufacturing;"
31182,"Manufacturing canned pasta specialties--are classified in Industry 31142, Fruit and Vegetable Canning, Pickling, and Drying;"
31182,"Manufacturing fresh pasta--are classified in Industry 31199, All Other Food Manufacturing;"
31182,"Manufacturing pretzels (except soft)--are classified in Industry 31191, Snack Food Manufacturing;"
31182,"Mixing purchased dried and/or dehydrated ingredients with purchased dry pasta--are classified in Industry 31199, All Other Food Manufacturing; and"
31182,"Drying and/or dehydrating ingredients and packaging them with purchased dry pasta--are classified in Industry 31142, Fruit and Vegetable Canning, Pickling, and Drying."
311821,"Preparing and selling bakery products (e.g., cookies, pretzels) for immediate consumption--are classified in U.S. Industry 722515, Snack and Nonalcoholic Beverage Bars;"
311821,"Retailing bakery products not for immediate consumption made elsewhere--are classified in U.S. Industry 445291, Baked Goods Stores;"
311821,"Manufacturing bakery products (e.g., breads, cookies, pies)--are classified in Industry 31181, Bread and Bakery Product Manufacturing; and"
311821,"Manufacturing pretzels (except soft)--are classified in U.S. Industry 311919, Other Snack Food Manufacturing."
311824,"Milling flour and preparing flour mixes or doughs--are classified in U.S. Industry 311211, Flour Milling;"
311824,"Manufacturing fresh pasta--are classified in U.S. Industry 311991, Perishable Prepared Food Manufacturing;"
311824,"Manufacturing pasta specialties--are classified in Industry Group 3114, Fruit and Vegetable Preserving and Specialty Food Manufacturing;"
311824,"Mixing purchased dried and/or dehydrated ingredients with purchased dry pasta--are classified in U.S. Industry 311999, All Other Miscellaneous Food Manufacturing; and"
311824,"Drying and/or dehydrating ingredients packaged with purchased dry pasta--are classified in U.S. Industry 311423, Dried and Dehydrated Food Manufacturing."
311830,"Manufacturing canned nationality foods using tortillas--are classified in U.S. Industry 311422, Specialty Canning;"
311830,"Manufacturing frozen nationality foods using tortillas--are classified in U.S. Industry 311412, Frozen Specialty Food Manufacturing; and"
311830,"Manufacturing tortilla chips--are classified in U.S. Industry 311919, Other Snack Food Manufacturing."
31191,"Manufacturing crackers--are classified in Industry 31182, Cookie, Cracker, and Pasta Manufacturing;"
31191,"Manufacturing unpopped popcorn--are classified in Industry 31199, All Other Food Manufacturing;"
31191,"Manufacturing chocolate or candy-coated nuts and candy-covered popcorn--are classified in Industry Group 3113, Sugar and Confectionery Product Manufacturing; and"
31191,"Manufacturing soft pretzels--are classified in Industry 31181, Bread and Bakery Product Manufacturing."
311911,"Establishments primarily engaged in manufacturing chocolate or candy-coated nuts and candy-covered popcorn are classified in Industry Group 3113, Sugar and Confectionery Product Manufacturing."
311919,"Manufacturing cookies and crackers--are classified in U.S. Industry 311821, Cookie and Cracker Manufacturing;"
